Capability;Domein;Huidige score (1-4);Ambitiescore (1-4);Toelichting
Vindbaarheid Informatie;Informatie & Communicatie;1;3;Ik weet niet waar ik informatie kan vinden over urenregistratie
Communicatie bij Wijzigingen;Informatie & Communicatie;1;3;Hoor het altijd als laatste, meestal pas als het al veranderd is
Duidelijkheid Instructies;Informatie & Communicatie;2;3;Er zijn wel instructies maar ze zijn ingewikkeld geschreven
Aanspreekpunt & Bereikbaarheid;Informatie & Communicatie;2;3;Mijn voorman helpt wel maar die weet het ook niet altijd
Bewustzijn Tijdige Registratie;Eigenaarschap & Cultuur;2;3;Ik snap dat het moet maar op de bouwplaats is er geen tijd voor
Persoonlijke Verantwoordelijkheid;Eigenaarschap & Cultuur;2;3;Ik doe mijn best maar vergeet het weleens
Proactief Indienen;Eigenaarschap & Cultuur;1;3;Ik wacht meestal tot iemand erom vraagt
Open Fout- en Leercultuur;Eigenaarschap & Cultuur;2;3;Als ik een fout maak hoor ik er wel van maar er wordt niet echt geholpen
Duidelijkheid Werkafspraken;Proces & Werkafspraken;2;3;Ik weet globaal wat ik moet doen maar de details zijn onduidelijk
Ondersteuning Collega's & Leiding;Proces & Werkafspraken;2;3;Collega's helpen elkaar wel maar leidinggevende is vaak niet beschikbaar
Kennis Codes & Projectnummers;Proces & Werkafspraken;1;3;Ik weet nooit welke code ik moet gebruiken, vraag het steeds opnieuw
Inzicht Eigen Registratie;Transparantie & Inzicht;1;3;Ik kan niet terugkijken wat ik eerder heb geboekt
Correctheid Registratie;Transparantie & Inzicht;2;3;Ik doe mijn best maar weet niet zeker of het klopt
Feedback bij Afkeuring;Transparantie & Inzicht;1;3;Krijg alleen een melding dat het is afgekeurd, geen uitleg
Gebruiksvriendelijkheid Systemen;Systeem & Tooling;1;3;FSM is traag en werkt slecht op mijn telefoon
Onkosten Indienen;Systeem & Tooling;1;3;Bonnen raken kwijt, het systeem is te ingewikkeld
Systeemstabiliteit & Correctie;Systeem & Tooling;1;2;Systeem logt me er steeds uit, correcties lukken bijna nooit
Eigenaarschap Team;Beoordeling & Sturing;1;2;Niemand in ons team voelt zich verantwoordelijk
Tijdig Beoordelen;Beoordeling & Sturing;1;3;Mijn uren worden soms weken later pas goedgekeurd
Stuurinformatie & Rapportages;Beoordeling & Sturing;1;2;Daar heb ik geen zicht op
