Capability;Domein;Huidige score (1-4);Ambitiescore (1-4);Toelichting
Vindbaarheid Informatie;Informatie & Communicatie;3;4;Ik weet waar alles staat maar collega's vragen het mij continu
Communicatie bij Wijzigingen;Informatie & Communicatie;3;4;Wij worden als eerste geïnformeerd maar de rest niet
Duidelijkheid Instructies;Informatie & Communicatie;3;4;Instructies zijn duidelijk voor ons maar te technisch voor het veld
Aanspreekpunt & Bereikbaarheid;Informatie & Communicatie;3;4;Wij zijn het aanspreekpunt maar worden overspoeld met vragen
Bewustzijn Tijdige Registratie;Eigenaarschap & Cultuur;3;4;Wij zien dagelijks het belang maar de operatie niet
Persoonlijke Verantwoordelijkheid;Eigenaarschap & Cultuur;4;4;Wij voelen ons sterk verantwoordelijk
Proactief Indienen;Eigenaarschap & Cultuur;3;4;Wij jagen anderen na om tijdig in te dienen
Open Fout- en Leercultuur;Eigenaarschap & Cultuur;3;4;Binnen ons team wel, maar organisatiebreed niet
Duidelijkheid Werkafspraken;Proces & Werkafspraken;3;4;Afspraken zijn voor ons helder maar worden niet overal gevolgd
Ondersteuning Collega's & Leiding;Proces & Werkafspraken;3;4;Wij ondersteunen veel maar krijgen zelf weinig hulp
Kennis Codes & Projectnummers;Proces & Werkafspraken;4;4;Wij kennen alle codes maar moeten ze constant uitleggen
Inzicht Eigen Registratie;Transparantie & Inzicht;3;4;Wij hebben overzicht maar het systeem maakt het niet makkelijk
Correctheid Registratie;Transparantie & Inzicht;3;4;Wij controleren alles maar dat kost enorm veel tijd
Feedback bij Afkeuring;Transparantie & Inzicht;3;4;Wij geven feedback maar het komt niet altijd aan
Gebruiksvriendelijkheid Systemen;Systeem & Tooling;2;4;PSM werkt maar is verouderd en traag
Onkosten Indienen;Systeem & Tooling;3;4;Wij kennen het proces maar het kan veel efficiënter
Systeemstabiliteit & Correctie;Systeem & Tooling;2;4;Correcties zijn tijdrovend en foutgevoelig
Eigenaarschap Team;Beoordeling & Sturing;3;4;Ons team neemt eigenaarschap maar andere afdelingen niet
Tijdig Beoordelen;Beoordeling & Sturing;3;4;Wij beoordelen snel maar wachten vaak op input
Stuurinformatie & Rapportages;Beoordeling & Sturing;2;4;We maken handmatig rapportages, geen automatisch dashboard
