Capability;Domein;Huidige score (1-4);Ambitiescore (1-4);Toelichting
Vindbaarheid Informatie;Informatie & Communicatie;2;4;Informatie is er maar verspreid over te veel plekken
Communicatie bij Wijzigingen;Informatie & Communicatie;2;4;Wijzigingen worden niet genoeg naar het veld gecommuniceerd
Duidelijkheid Instructies;Informatie & Communicatie;3;4;Redelijk duidelijk maar niet afgestemd op monteurs
Aanspreekpunt & Bereikbaarheid;Informatie & Communicatie;3;4;Ik ben zelf aanspreekpunt maar kan niet alles beantwoorden
Bewustzijn Tijdige Registratie;Eigenaarschap & Cultuur;3;4;Ik snap het belang en probeer mijn team te motiveren
Persoonlijke Verantwoordelijkheid;Eigenaarschap & Cultuur;3;4;Ik voel me verantwoordelijk voor mijn team hun registratie
Proactief Indienen;Eigenaarschap & Cultuur;2;4;Mijn team wacht vaak tot ik erachteraan ga
Open Fout- en Leercultuur;Eigenaarschap & Cultuur;3;4;Ik probeer fouten bespreekbaar te maken maar het is lastig
Duidelijkheid Werkafspraken;Proces & Werkafspraken;3;4;Afspraken zijn helder maar handhaving is moeilijk op afstand
Ondersteuning Collega's & Leiding;Proces & Werkafspraken;3;4;Ik help mijn team actief maar mis zelf ondersteuning van hogerhand
Kennis Codes & Projectnummers;Proces & Werkafspraken;2;4;Codes wisselen per project, overzichtlijst is niet actueel
Inzicht Eigen Registratie;Transparantie & Inzicht;2;4;Ik mis een teamoverzicht, moet alles individueel opzoeken
Correctheid Registratie;Transparantie & Inzicht;3;4;Ik controleer waar mogelijk maar het kost veel tijd
Feedback bij Afkeuring;Transparantie & Inzicht;2;4;Ik geef feedback maar het systeem ondersteunt dat niet goed
Gebruiksvriendelijkheid Systemen;Systeem & Tooling;2;4;FSM is functioneel maar niet gebruiksvriendelijk voor monteurs
Onkosten Indienen;Systeem & Tooling;2;4;Mijn team klaagt veel over het onkostenproces
Systeemstabiliteit & Correctie;Systeem & Tooling;2;3;Correcties doorvoeren in FSM is frustrerend
Eigenaarschap Team;Beoordeling & Sturing;3;4;Ik neem eigenaarschap maar mis de tools om te sturen
Tijdig Beoordelen;Beoordeling & Sturing;2;4;Ik probeer snel te beoordelen maar word overspoeld
Stuurinformatie & Rapportages;Beoordeling & Sturing;2;4;Ik maak zelf lijstjes maar heb geen echte managementinfo
