Nr;Capability;Domein;Stelling;Score (1-5);Toelichting
1;Tijdige Urenregistratie;Registratie & Invoer;Ik registreer mijn uren dagelijks of direct na afloop van werkzaamheden.;1;Op de bouwplaats is daar geen tijd voor
2;Tijdige Urenregistratie;Registratie & Invoer;Er zijn duidelijke deadlines gecommuniceerd voor het indienen van uren.;2;Weet dat het vrijdag moet maar lukt bijna nooit
3;Tijdige Urenregistratie;Registratie & Invoer;Ik ervaar geen belemmeringen om mijn uren op tijd in te voeren.;1;Telefoon werkt slecht op locatie en app is traag
4;Correctheid Urenboekingen;Registratie & Invoer;Ik weet altijd welke projectcode of kostenplaats ik moet gebruiken.;1;Codes wisselen constant en ik heb geen overzicht
5;Correctheid Urenboekingen;Registratie & Invoer;De uren die ik boek geven een accuraat beeld van mijn werkzaamheden.;2;Ik schat het in maar het klopt niet altijd
6;Correctheid Urenboekingen;Registratie & Invoer;Ik controleer mijn boekingen voordat ik ze indien.;1;Geen tijd voor, voer het snel in
7;Onkostendeclaratie;Registratie & Invoer;Het declareren van onkosten is eenvoudig en kost weinig tijd.;1;Bonnen raken kwijt en het systeem is ingewikkeld
8;Onkostendeclaratie;Registratie & Invoer;Ik weet welke onkosten ik wel en niet mag declareren.;2;Globaal wel maar de details zijn onduidelijk
9;Onkostendeclaratie;Registratie & Invoer;Mijn onkostendeclaraties worden binnen een redelijke termijn verwerkt.;2;Soms weken niets gehoord
10;Gebruiksvriendelijkheid Systemen;Systeem & Tooling;De systemen voor uren- en onkostenregistratie zijn intuïtief en gebruiksvriendelijk.;1;FSM is verschrikkelijk op mijn telefoon
11;Gebruiksvriendelijkheid Systemen;Systeem & Tooling;Ik kan de systemen probleemloos gebruiken op mijn telefoon of tablet.;1;App crasht regelmatig
12;Gebruiksvriendelijkheid Systemen;Systeem & Tooling;Het systeem biedt duidelijke foutmeldingen als ik iets verkeerd invoer.;1;Snap er niks van als er een fout komt
13;Systeemstabiliteit;Systeem & Tooling;De systemen zijn betrouwbaar en vallen zelden uit.;1;Word er regelmatig uitgelogd
14;Systeemstabiliteit;Systeem & Tooling;Ik kan eenvoudig correcties doorvoeren als ik een fout heb gemaakt.;1;Moet altijd de administratie bellen
15;Systeemstabiliteit;Systeem & Tooling;Mijn gegevens worden betrouwbaar opgeslagen en gaan niet verloren.;2;Soms zijn ingevulde uren weg
16;Goedkeuringsproces;Beoordeling & Goedkeuring;Mijn leidinggevende keurt mijn uren tijdig goed.;1;Soms pas na 3 weken goedgekeurd
17;Goedkeuringsproces;Beoordeling & Goedkeuring;Ik ontvang feedback als er iets niet klopt aan mijn registratie.;1;Krijg alleen afkeuring zonder uitleg
18;Goedkeuringsproces;Beoordeling & Goedkeuring;Het goedkeuringsproces is transparant en ik kan de status volgen.;1;Geen idee waar het staat
19;Kwaliteitscontrole;Beoordeling & Goedkeuring;Er zijn duidelijke controles om fouten in registraties te signaleren.;2;Administratie belt soms als het echt fout is
20;Kwaliteitscontrole;Beoordeling & Goedkeuring;Fouten worden tijdig gecorrigeerd zonder dat dit veel moeite kost.;1;Correcties lukken bijna nooit zelf
21;Kwaliteitscontrole;Beoordeling & Goedkeuring;Er is een helder escalatiepad als ik het niet eens ben met een afkeuring.;1;Wist niet dat dit kon
22;Inzicht & Rapportage;Transparantie & Inzicht;Ik heb inzicht in mijn eigen geregistreerde uren en onkosten.;1;Kan niet terugkijken
23;Inzicht & Rapportage;Transparantie & Inzicht;Mijn team of afdeling heeft inzicht in gezamenlijke registratiecijfers.;1;Daar heb ik geen zicht op
24;Inzicht & Rapportage;Transparantie & Inzicht;Management gebruikt registratiedata voor besluitvorming en sturing.;1;Geen idee
25;Communicatie & Instructies;Informatie & Communicatie;Instructies voor uren- en onkostenregistratie zijn duidelijk en actueel.;2;Er is een handleiding maar die snap ik niet
26;Communicatie & Instructies;Informatie & Communicatie;Wijzigingen in het proces worden tijdig en helder gecommuniceerd.;1;Hoor het altijd als laatste
27;Communicatie & Instructies;Informatie & Communicatie;Ik weet bij wie ik terecht kan met vragen over registratie.;2;Vraag het aan collega's maar die weten het ook niet altijd
28;Eigenaarschap & Bewustzijn;Eigenaarschap & Cultuur;Ik voel me persoonlijk verantwoordelijk voor correcte registratie.;2;Ik snap dat het moet maar het schiet erbij in
29;Eigenaarschap & Bewustzijn;Eigenaarschap & Cultuur;Binnen mijn team is er een cultuur van zorgvuldige registratie.;1;Niemand vindt het belangrijk
30;Eigenaarschap & Bewustzijn;Eigenaarschap & Cultuur;Fouten in registratie worden constructief besproken zonder verwijten.;2;Als ik een fout maak hoor ik er wel van
31;Procesafspraken & Naleving;Proces & Werkafspraken;De werkafspraken rondom registratie zijn helder en eenduidig.;2;Weet globaal wat moet maar details zijn onduidelijk
32;Procesafspraken & Naleving;Proces & Werkafspraken;Er wordt actief gestuurd op naleving van registratieafspraken.;1;Niemand controleert het
33;Procesafspraken & Naleving;Proces & Werkafspraken;Nieuwe medewerkers worden goed ingewerkt op het registratieproces.;1;Moest het zelf uitzoeken
