Capability;Domein;Huidige score (1-4);Ambitiescore (1-4);Toelichting
Vindbaarheid Informatie;Informatie & Communicatie;2;4;Informatie staat verspreid over WeToday en mail, lastig te vinden
Communicatie bij Wijzigingen;Informatie & Communicatie;2;3;Wijzigingen hoor ik vaak pas via collega's, niet via officieel kanaal
Duidelijkheid Instructies;Informatie & Communicatie;3;4;Instructies zijn er wel maar niet altijd up-to-date
Aanspreekpunt & Bereikbaarheid;Informatie & Communicatie;3;4;Ik weet wie ik moet bellen maar niet iedereen in mijn team
Bewustzijn Tijdige Registratie;Eigenaarschap & Cultuur;3;4;Ik weet dat het belangrijk is maar in drukke periodes schiet het erbij in
Persoonlijke Verantwoordelijkheid;Eigenaarschap & Cultuur;3;4;Ik voel me verantwoordelijk maar merk dat niet iedereen dat doet
Proactief Indienen;Eigenaarschap & Cultuur;2;4;Soms stapelen declaraties zich op door drukte
Open Fout- en Leercultuur;Eigenaarschap & Cultuur;2;3;Fouten worden niet echt besproken, je lost het zelf op
Duidelijkheid Werkafspraken;Proces & Werkafspraken;3;4;Afspraken zijn er maar worden niet altijd gevolgd door het team
Ondersteuning Collega's & Leiding;Proces & Werkafspraken;3;4;Ik probeer mijn team te helpen maar heb er zelf ook niet altijd tijd voor
Kennis Codes & Projectnummers;Proces & Werkafspraken;2;4;Codes veranderen regelmatig, overzicht ontbreekt
Inzicht Eigen Registratie;Transparantie & Inzicht;2;4;Ik mis een overzicht van mijn team hun boekingen
Correctheid Registratie;Transparantie & Inzicht;3;4;Gaat meestal goed maar controle achteraf is lastig
Feedback bij Afkeuring;Transparantie & Inzicht;2;3;Bij afkeuring krijg ik een code maar geen uitleg
Gebruiksvriendelijkheid Systemen;Systeem & Tooling;2;4;PSM is niet intuïtief, veel klikken voor simpele acties
Onkosten Indienen;Systeem & Tooling;2;3;Bonnen uploaden is omslachtig, zeker via mobiel
Systeemstabiliteit & Correctie;Systeem & Tooling;2;3;Correcties doorvoeren kost veel moeite en stappen
Eigenaarschap Team;Beoordeling & Sturing;3;4;Ik probeer mijn team aan te sturen maar mis tooling
Tijdig Beoordelen;Beoordeling & Sturing;2;4;Beoordeling loopt vaak achter door werkdruk
Stuurinformatie & Rapportages;Beoordeling & Sturing;1;4;Geen dashboard beschikbaar, alles handmatig in Excel
