Nr;Capability;Domein;Stelling;Score (1-5);Toelichting
1;Tijdige Urenregistratie;Registratie & Invoer;Ik registreer mijn uren dagelijks of direct na afloop van werkzaamheden.;3;Probeer het dagelijks maar lukt niet altijd
2;Tijdige Urenregistratie;Registratie & Invoer;Er zijn duidelijke deadlines gecommuniceerd voor het indienen van uren.;4;Wekelijkse deadline is helder
3;Tijdige Urenregistratie;Registratie & Invoer;Ik ervaar geen belemmeringen om mijn uren op tijd in te voeren.;2;Systeem is soms traag in het veld
4;Correctheid Urenboekingen;Registratie & Invoer;Ik weet altijd welke projectcode of kostenplaats ik moet gebruiken.;3;Meestal wel maar bij nieuwe projecten is het zoeken
5;Correctheid Urenboekingen;Registratie & Invoer;De uren die ik boek geven een accuraat beeld van mijn werkzaamheden.;4;Ik probeer het zo nauwkeurig mogelijk te doen
6;Correctheid Urenboekingen;Registratie & Invoer;Ik controleer mijn boekingen voordat ik ze indien.;3;Doe ik meestal wel even
7;Onkostendeclaratie;Registratie & Invoer;Het declareren van onkosten is eenvoudig en kost weinig tijd.;2;Te veel stappen en bonnen uploaden is omslachtig
8;Onkostendeclaratie;Registratie & Invoer;Ik weet welke onkosten ik wel en niet mag declareren.;4;Regels zijn duidelijk
9;Onkostendeclaratie;Registratie & Invoer;Mijn onkostendeclaraties worden binnen een redelijke termijn verwerkt.;3;Soms duurt het 2-3 weken
10;Gebruiksvriendelijkheid Systemen;Systeem & Tooling;De systemen voor uren- en onkostenregistratie zijn intuïtief en gebruiksvriendelijk.;2;FSM werkt maar is niet prettig
11;Gebruiksvriendelijkheid Systemen;Systeem & Tooling;Ik kan de systemen probleemloos gebruiken op mijn telefoon of tablet.;2;Mobiele versie is beperkt
12;Gebruiksvriendelijkheid Systemen;Systeem & Tooling;Het systeem biedt duidelijke foutmeldingen als ik iets verkeerd invoer.;2;Foutmeldingen zijn cryptisch
13;Systeemstabiliteit;Systeem & Tooling;De systemen zijn betrouwbaar en vallen zelden uit.;3;Af en toe storingen maar over het algemeen stabiel
14;Systeemstabiliteit;Systeem & Tooling;Ik kan eenvoudig correcties doorvoeren als ik een fout heb gemaakt.;2;Correcties moeten via administratie
15;Systeemstabiliteit;Systeem & Tooling;Mijn gegevens worden betrouwbaar opgeslagen en gaan niet verloren.;4;Nooit data kwijtgeraakt
16;Goedkeuringsproces;Beoordeling & Goedkeuring;Mijn leidinggevende keurt mijn uren tijdig goed.;3;Meestal binnen een week
17;Goedkeuringsproces;Beoordeling & Goedkeuring;Ik ontvang feedback als er iets niet klopt aan mijn registratie.;2;Alleen bij afkeuring een mailtje
18;Goedkeuringsproces;Beoordeling & Goedkeuring;Het goedkeuringsproces is transparant en ik kan de status volgen.;2;Geen inzicht in status
19;Kwaliteitscontrole;Beoordeling & Goedkeuring;Er zijn duidelijke controles om fouten in registraties te signaleren.;3;Administratie checkt achteraf
20;Kwaliteitscontrole;Beoordeling & Goedkeuring;Fouten worden tijdig gecorrigeerd zonder dat dit veel moeite kost.;2;Correcties kosten veel tijd
21;Kwaliteitscontrole;Beoordeling & Goedkeuring;Er is een helder escalatiepad als ik het niet eens ben met een afkeuring.;2;Weet niet bij wie ik moet zijn
22;Inzicht & Rapportage;Transparantie & Inzicht;Ik heb inzicht in mijn eigen geregistreerde uren en onkosten.;3;Kan het terugvinden maar kost moeite
23;Inzicht & Rapportage;Transparantie & Inzicht;Mijn team of afdeling heeft inzicht in gezamenlijke registratiecijfers.;2;Geen teamoverzicht beschikbaar
24;Inzicht & Rapportage;Transparantie & Inzicht;Management gebruikt registratiedata voor besluitvorming en sturing.;2;Geen idee wat er met de data gebeurt
25;Communicatie & Instructies;Informatie & Communicatie;Instructies voor uren- en onkostenregistratie zijn duidelijk en actueel.;3;Handleiding bestaat maar is verouderd
26;Communicatie & Instructies;Informatie & Communicatie;Wijzigingen in het proces worden tijdig en helder gecommuniceerd.;2;Hoor het vaak achteraf
27;Communicatie & Instructies;Informatie & Communicatie;Ik weet bij wie ik terecht kan met vragen over registratie.;3;Mijn voorman helpt wel
28;Eigenaarschap & Bewustzijn;Eigenaarschap & Cultuur;Ik voel me persoonlijk verantwoordelijk voor correcte registratie.;4;Vind het belangrijk voor projectsturing
29;Eigenaarschap & Bewustzijn;Eigenaarschap & Cultuur;Binnen mijn team is er een cultuur van zorgvuldige registratie.;3;Wisselend per persoon
30;Eigenaarschap & Bewustzijn;Eigenaarschap & Cultuur;Fouten in registratie worden constructief besproken zonder verwijten.;3;We proberen er open over te zijn
31;Procesafspraken & Naleving;Proces & Werkafspraken;De werkafspraken rondom registratie zijn helder en eenduidig.;3;Afspraken zijn er maar worden niet altijd gevolgd
32;Procesafspraken & Naleving;Proces & Werkafspraken;Er wordt actief gestuurd op naleving van registratieafspraken.;2;Weinig opvolging
33;Procesafspraken & Naleving;Proces & Werkafspraken;Nieuwe medewerkers worden goed ingewerkt op het registratieproces.;2;Leren het van collega's maar geen formeel programma
