Nr;Capability;Domein;Stelling;Score (1-5);Toelichting
1;Tijdige Urenregistratie;Registratie & Invoer;Ik registreer mijn uren dagelijks of direct na afloop van werkzaamheden.;3;Zelf wel maar mijn team niet
2;Tijdige Urenregistratie;Registratie & Invoer;Er zijn duidelijke deadlines gecommuniceerd voor het indienen van uren.;4;Ik communiceer het duidelijk maar handhaving is lastig
3;Tijdige Urenregistratie;Registratie & Invoer;Ik ervaar geen belemmeringen om mijn uren op tijd in te voeren.;3;Op kantoor geen probleem maar in het veld wel
4;Correctheid Urenboekingen;Registratie & Invoer;Ik weet altijd welke projectcode of kostenplaats ik moet gebruiken.;3;Meestal wel maar bij nieuwe projecten moet ik het opzoeken
5;Correctheid Urenboekingen;Registratie & Invoer;De uren die ik boek geven een accuraat beeld van mijn werkzaamheden.;4;Ik doe mijn best om nauwkeurig te zijn
6;Correctheid Urenboekingen;Registratie & Invoer;Ik controleer mijn boekingen voordat ik ze indien.;3;Doe ik en check ook die van mijn team
7;Onkostendeclaratie;Registratie & Invoer;Het declareren van onkosten is eenvoudig en kost weinig tijd.;2;Mijn team klaagt veel over het onkostenproces
8;Onkostendeclaratie;Registratie & Invoer;Ik weet welke onkosten ik wel en niet mag declareren.;4;Regels zijn mij helder
9;Onkostendeclaratie;Registratie & Invoer;Mijn onkostendeclaraties worden binnen een redelijke termijn verwerkt.;3;Gaat redelijk maar kan sneller
10;Gebruiksvriendelijkheid Systemen;Systeem & Tooling;De systemen voor uren- en onkostenregistratie zijn intuïtief en gebruiksvriendelijk.;2;Functioneel maar niet gebruiksvriendelijk voor monteurs
11;Gebruiksvriendelijkheid Systemen;Systeem & Tooling;Ik kan de systemen probleemloos gebruiken op mijn telefoon of tablet.;3;Op mijn laptop gaat het maar mijn team heeft problemen mobiel
12;Gebruiksvriendelijkheid Systemen;Systeem & Tooling;Het systeem biedt duidelijke foutmeldingen als ik iets verkeerd invoer.;2;Meldingen zijn onduidelijk
13;Systeemstabiliteit;Systeem & Tooling;De systemen zijn betrouwbaar en vallen zelden uit.;3;Over het algemeen stabiel
14;Systeemstabiliteit;Systeem & Tooling;Ik kan eenvoudig correcties doorvoeren als ik een fout heb gemaakt.;2;Correcties doorvoeren in FSM is frustrerend
15;Systeemstabiliteit;Systeem & Tooling;Mijn gegevens worden betrouwbaar opgeslagen en gaan niet verloren.;4;Geen problemen daarmee gehad
16;Goedkeuringsproces;Beoordeling & Goedkeuring;Mijn leidinggevende keurt mijn uren tijdig goed.;3;Ik probeer snel te beoordelen maar word overspoeld
17;Goedkeuringsproces;Beoordeling & Goedkeuring;Ik ontvang feedback als er iets niet klopt aan mijn registratie.;3;Ik geef feedback maar het systeem ondersteunt dat niet goed
18;Goedkeuringsproces;Beoordeling & Goedkeuring;Het goedkeuringsproces is transparant en ik kan de status volgen.;2;Ik mis een overzicht van openstaande goedkeuringen
19;Kwaliteitscontrole;Beoordeling & Goedkeuring;Er zijn duidelijke controles om fouten in registraties te signaleren.;3;Ik controleer handmatig maar kost veel tijd
20;Kwaliteitscontrole;Beoordeling & Goedkeuring;Fouten worden tijdig gecorrigeerd zonder dat dit veel moeite kost.;2;Correcties zijn omslachtig
21;Kwaliteitscontrole;Beoordeling & Goedkeuring;Er is een helder escalatiepad als ik het niet eens ben met een afkeuring.;2;Niet formeel geregeld
22;Inzicht & Rapportage;Transparantie & Inzicht;Ik heb inzicht in mijn eigen geregistreerde uren en onkosten.;3;Kan het vinden maar kost moeite
23;Inzicht & Rapportage;Transparantie & Inzicht;Mijn team of afdeling heeft inzicht in gezamenlijke registratiecijfers.;2;Ik mis een teamoverzicht
24;Inzicht & Rapportage;Transparantie & Inzicht;Management gebruikt registratiedata voor besluitvorming en sturing.;2;Ik maak zelf lijstjes maar heb geen echte managementinfo
25;Communicatie & Instructies;Informatie & Communicatie;Instructies voor uren- en onkostenregistratie zijn duidelijk en actueel.;3;Redelijk duidelijk maar niet afgestemd op monteurs
26;Communicatie & Instructies;Informatie & Communicatie;Wijzigingen in het proces worden tijdig en helder gecommuniceerd.;2;Wijzigingen worden niet genoeg naar het veld gecommuniceerd
27;Communicatie & Instructies;Informatie & Communicatie;Ik weet bij wie ik terecht kan met vragen over registratie.;4;Ik ben zelf aanspreekpunt maar kan niet alles beantwoorden
28;Eigenaarschap & Bewustzijn;Eigenaarschap & Cultuur;Ik voel me persoonlijk verantwoordelijk voor correcte registratie.;4;Ik voel me verantwoordelijk voor mijn team
29;Eigenaarschap & Bewustzijn;Eigenaarschap & Cultuur;Binnen mijn team is er een cultuur van zorgvuldige registratie.;3;Wisselend, sommigen doen het goed
30;Eigenaarschap & Bewustzijn;Eigenaarschap & Cultuur;Fouten in registratie worden constructief besproken zonder verwijten.;3;Ik probeer fouten bespreekbaar te maken maar het is lastig
31;Procesafspraken & Naleving;Proces & Werkafspraken;De werkafspraken rondom registratie zijn helder en eenduidig.;3;Afspraken zijn helder maar handhaving is moeilijk op afstand
32;Procesafspraken & Naleving;Proces & Werkafspraken;Er wordt actief gestuurd op naleving van registratieafspraken.;3;Ik stuur erop maar mis ondersteuning van hogerhand
33;Procesafspraken & Naleving;Proces & Werkafspraken;Nieuwe medewerkers worden goed ingewerkt op het registratieproces.;2;Ik werk ze zelf in maar er is geen standaard programma
