Capability;Domein;Huidige score (1-4);Ambitiescore (1-4);Toelichting
Vindbaarheid Informatie;Informatie & Communicatie;2;3;Ik zoek het wel op als ik het nodig heb maar het is niet handig
Communicatie bij Wijzigingen;Informatie & Communicatie;2;3;Ik mis regelmatig updates over procesveranderingen
Duidelijkheid Instructies;Informatie & Communicatie;2;3;Instructies zijn er maar niet relevant voor mijn rol
Aanspreekpunt & Bereikbaarheid;Informatie & Communicatie;2;3;Niet duidelijk wie ik moet aanspreken bij problemen
Bewustzijn Tijdige Registratie;Eigenaarschap & Cultuur;2;3;Ik weet dat het moet maar mijn prioriteit ligt bij klanten
Persoonlijke Verantwoordelijkheid;Eigenaarschap & Cultuur;2;3;Ik voel me er wel verantwoordelijk voor maar het schiet erbij in
Proactief Indienen;Eigenaarschap & Cultuur;1;3;Ik dien pas in als ik er achteraan wordt gezeten
Open Fout- en Leercultuur;Eigenaarschap & Cultuur;2;3;We bespreken het niet echt, ieder lost het zelf op
Duidelijkheid Werkafspraken;Proces & Werkafspraken;2;3;Afspraken zijn er maar ik ken ze niet allemaal
Ondersteuning Collega's & Leiding;Proces & Werkafspraken;2;3;Mijn manager stuurt er niet op
Kennis Codes & Projectnummers;Proces & Werkafspraken;2;3;Ik gebruik steeds dezelfde codes, weet niet of ze kloppen
Inzicht Eigen Registratie;Transparantie & Inzicht;2;3;Ik check het niet vaak, alleen als er iets wordt afgekeurd
Correctheid Registratie;Transparantie & Inzicht;2;3;Ik denk dat het redelijk klopt maar weet het niet zeker
Feedback bij Afkeuring;Transparantie & Inzicht;2;3;Krijg een mailtje maar zonder duidelijke uitleg
Gebruiksvriendelijkheid Systemen;Systeem & Tooling;2;3;Het systeem is niet slecht maar ook niet prettig
Onkosten Indienen;Systeem & Tooling;2;3;Declareren kost te veel tijd voor kleine bedragen
Systeemstabiliteit & Correctie;Systeem & Tooling;2;3;Systeem werkt meestal wel maar correcties zijn lastig
Eigenaarschap Team;Beoordeling & Sturing;2;3;Niet echt teamgevoel rondom registratie
Tijdig Beoordelen;Beoordeling & Sturing;2;3;Mijn manager keurt het wel goed maar niet altijd snel
Stuurinformatie & Rapportages;Beoordeling & Sturing;1;3;Ik heb geen idee hoe we scoren als team
